id,name,usage,location_id/id
stock.stock_location_locations,Physical Locations,View,
stock.stock_location_locations_virtual,Virtual Locations,View,
stock.stock_location_locations_partner,Partner Locations,View,
__export__.stock_location_11_c10180f3,MA,View,stock.stock_location_locations
__export__.stock_location_12_3e8f90c4,Quality Control,Internal Location,__export__.stock_location_11_c10180f3
__export__.stock_location_17_7ef0e1e5,My Company: Transit Location,Transit Location,stock.stock_location_locations
__export__.stock_location_18_519cda45,CA,View,stock.stock_location_locations
__export__.stock_location_23_064cc4cd,Stock,Internal Location,__export__.stock_location_18_519cda45
__export__.stock_location_27_4551c6e2,WHT,View,stock.stock_location_locations
stock.Building3|||,Building3,Internal Location,stock.stock_location_stock
stock.Building3|0||,0,Internal Location,stock.Building3|||
stock.Building3|0|P4h|,P4h,Internal Location,stock.Building3|0||
stock.Building3|0|P4h|111,111,Internal Location,stock.Building3|0|P4h|
stock.Building3|0|P4h|112,112,Internal Location,stock.Building3|0|P4h|
stock.Building3|0|P4h|114,114,Internal Location,stock.Building3|0|P4h|
stock.Building3|0|PH|,PH,Internal Location,stock.Building3|0||
stock.Building3|0|PH|100,100,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|102,102,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|103,103,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|104,104,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|105,105,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|106,106,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|107,107,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|108,108,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|109,109,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|110,110,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|111,111,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|112,112,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|113,113,Internal Location,stock.Building3|0|PH|
stock.Building3|0|PH|114,114,Internal Location,stock.Building3|0|PH|
stock.Building3|CT||,CT,Internal Location,stock.Building3|||
stock.Building3|Nick_Office||,Nick Office,Internal Location,stock.Building3|||
stock.Building3|Photo||,Photo,Internal Location,stock.Building3|||
stock.Building3|Tom_Rack||,Tom Rack,Internal Location,stock.Building3|||
stock.Building3|W100||,W100,Internal Location,stock.Building3|||
stock.Building3|W101||,W101,Internal Location,stock.Building3|||
stock.Building3|W103||,W103,Internal Location,stock.Building3|||
stock.Building3|W104||,W104,Internal Location,stock.Building3|||
stock.Building3|W99||,W99,Internal Location,stock.Building3|||
stock.Building4|||,Building4,Internal Location,stock.stock_location_stock
stock.Building4|3BA||,3BA,Internal Location,stock.Building4|||
stock.Building4|3BA|C|,C,Internal Location,stock.Building4|3BA||
stock.Building4|3BA|C|4,4,Internal Location,stock.Building4|3BA|C|
stock.Building4|3BA|C|5,5,Internal Location,stock.Building4|3BA|C|
stock.Building4|3BA|D|,D,Internal Location,stock.Building4|3BA||
stock.Building4|3BA|D|1,1,Internal Location,stock.Building4|3BA|D|
stock.Building4|3BA|D|5,5,Internal Location,stock.Building4|3BA|D|
stock.Building4|3BA|E|,E,Internal Location,stock.Building4|3BA||
stock.Building4|3BA|E|5,5,Internal Location,stock.Building4|3BA|E|
stock.Building4|3BA|F|,F,Internal Location,stock.Building4|3BA||
stock.Building4|3BA|F|1,1,Internal Location,stock.Building4|3BA|F|
stock.Building4|3BA|F|2,2,Internal Location,stock.Building4|3BA|F|
stock.Building4|3BA|F|4,4,Internal Location,stock.Building4|3BA|F|
stock.Building4|4R||,4R,Internal Location,stock.Building4|||
stock.Building4|4R|Y|,Y,Internal Location,stock.Building4|4R||
stock.Building4|4R|Y|3,3,Internal Location,stock.Building4|4R|Y|
stock.Building4|4RA||,4RA,Internal Location,stock.Building4|||
stock.Building4|4RA|D|,D,Internal Location,stock.Building4|4RA||
stock.Building4|4RA|D|4,4,Internal Location,stock.Building4|4RA|D|
stock.Building4|4RA|D|5,5,Internal Location,stock.Building4|4RA|D|
stock.Building4|4RA|E|,E,Internal Location,stock.Building4|4RA||
stock.Building4|4RA|E|1,1,Internal Location,stock.Building4|4RA|E|
stock.Building4|4RA|E|3,3,Internal Location,stock.Building4|4RA|E|
stock.Building4|4RA|E|5,5,Internal Location,stock.Building4|4RA|E|
stock.Building4|4RA|F|,F,Internal Location,stock.Building4|4RA||
stock.Building4|4RA|F|1,1,Internal Location,stock.Building4|4RA|F|
stock.Building4|4RA|F|2,2,Internal Location,stock.Building4|4RA|F|
stock.Building4|4RA|F|3,3,Internal Location,stock.Building4|4RA|F|
stock.Building4|4RA|G|,G,Internal Location,stock.Building4|4RA||
stock.Building4|4RA|G|1,1,Internal Location,stock.Building4|4RA|G|
stock.Building4|4RA|G|2,2,Internal Location,stock.Building4|4RA|G|
stock.Building4|4RA|G|5,5,Internal Location,stock.Building4|4RA|G|
stock.Building4|6B2||,6B2,Internal Location,stock.Building4|||
stock.Building4|6B2|P|,P,Internal Location,stock.Building4|6B2||
stock.Building4|6B2|P|3,3,Internal Location,stock.Building4|6B2|P|
stock.Building4|6B2|P|4,4,Internal Location,stock.Building4|6B2|P|
stock.Building4|Black_Cabinet||,Black Cabinet,Internal Location,stock.Building4|||
stock.Building4|Craig_Office||,Craig Office,Internal Location,stock.Building4|||
stock.Building4|Room_2||,Room 2,Internal Location,stock.Building4|||
stock.Building4|See_Craig||,See Craig,Internal Location,stock.Building4|||
stock.Building5|||,Building5,Internal Location,stock.stock_location_stock
stock.Building5|0||,0,Internal Location,stock.Building5|||
stock.Building5|0|0|,0,Internal Location,stock.Building5|0||
stock.Building5|0|0|Box_1,Box 1,Internal Location,stock.Building5|0|0|
stock.Building5|0|A|,A,Internal Location,stock.Building5|0||
stock.Building5|0|A|1,1,Internal Location,stock.Building5|0|A|
stock.Building5|0|A|10,10,Internal Location,stock.Building5|0|A|
stock.Building5|0|A|12,12,Internal Location,stock.Building5|0|A|
stock.Building5|0|A|14,14,Internal Location,stock.Building5|0|A|
stock.Building5|0|A|15,15,Internal Location,stock.Building5|0|A|
stock.Building5|0|A|19,19,Internal Location,stock.Building5|0|A|
stock.Building5|0|A|2,2,Internal Location,stock.Building5|0|A|
stock.Building5|0|A|3,3,Internal Location,stock.Building5|0|A|
stock.Building5|0|A|4,4,Internal Location,stock.Building5|0|A|
stock.Building5|0|A|9,9,Internal Location,stock.Building5|0|A|
stock.Building5|0|AB|,AB,Internal Location,stock.Building5|0||
stock.Building5|0|AB|2,2,Internal Location,stock.Building5|0|AB|
stock.Building5|0|AB|5,5,Internal Location,stock.Building5|0|AB|
stock.Building5|0|AC|,AC,Internal Location,stock.Building5|0||
stock.Building5|0|AC|2,2,Internal Location,stock.Building5|0|AC|
stock.Building5|0|AC|3,3,Internal Location,stock.Building5|0|AC|
stock.Building5|0|AF|,AF,Internal Location,stock.Building5|0||
stock.Building5|0|AF|2,2,Internal Location,stock.Building5|0|AF|
stock.Building5|0|B|,B,Internal Location,stock.Building5|0||
stock.Building5|0|B|16,16,Internal Location,stock.Building5|0|B|
stock.Building5|0|B|8,8,Internal Location,stock.Building5|0|B|
stock.Building5|0|BB|,BB,Internal Location,stock.Building5|0||
